observacao,cook,ibc,uf,ano
7747,0.0016871905262964826,47.59,MT,2024
7663,0.0017109863217286833,35.74,PE,2024
11657,0.0017362879616648565,42.09,PB,2024
14410,0.0017834231989822342,54.32,GO,2024
12105,0.0017907234705406266,37.28,PE,2024
2773,0.0019525661602474485,63.36,MT,2024
13912,0.0019841216462207524,72.13,PR,2024
500,0.0020007969918126615,40.56,PB,2024
16669,0.002005043921628277,59.21,MS,2024
562,0.0020148722499851736,74.73,RS,2024
16230,0.0022947826160904486,56.57,MS,2024
4503,0.002942828027589018,53.32,TO,2024
2316,0.003149304521067713,65.36,SP,2024
106,0.004139276550544581,60.93,MT,2024
13019,0.004415510974291269,72.12,RJ,2024
